Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Price_SGD,Brand_Discount,Member_Discount
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,True,3.01,18.4,6.2,2650.8,80,132.54
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,1024,True,1.16,14.0,3.54,2154.4,80,150.81
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,4096,False,1.02,14.0,6.77,2957.6,80,147.88
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,2048,True,2.58,17.3,5.17,1822.8,80,109.37
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,512,False,1.53,15.6,2.11,3249.2,80,194.95
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,4096,False,1.94,15.6,7.0,2291.6,80,160.41
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,1024,False,1.59,15.6,4.53,1978.4,80,138.49
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,4096,True,2.34,15.6,3.74,2855.6,80,171.34
Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,2048,False,1.22,14.0,4.64,2438.8,80,121.94
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,512,True,1.46,14.0,6.53,3339.2,80,166.96
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,1.96,16.0,4.22,2950.8,80,177.05
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,2048,False,2.98,18.4,4.14,2930.79,80,175.85
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,4096,False,2.23,16.0,4.6,3291.6,80,230.41
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,2048,True,1.48,13.3,4.1,2428.8,80,145.73
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,2.53,18.4,4.79,3923.6,80,235.42
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,2.63,18.4,3.17,2369.2,80,142.15
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.44,15.6,4.81,2439.61,80,146.38
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,True,1.19,13.3,6.76,3198.4,80,191.9
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,4096,True,1.18,13.3,4.65,3013.6,80,210.95
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,1024,False,1.35,14.0,3.45,1406.4,80,84.38
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,1024,False,2.92,17.3,3.11,1884.4,80,94.22
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,512,True,3.37,17.3,2.13,1605.2,80,96.31
Acer,Aspire 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,1024,True,2.15,15.6,2.36,3404.4,80,204.26
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,4096,False,2.44,16.0,3.96,2991.6,80,179.5
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.76,15.6,3.73,1950.81,80,117.05
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4080,32,512,False,2.79,18.4,2.83,3377.2,80,202.63
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,2048,False,1.37,13.3,5.29,4268.8,80,256.13
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,256,True,1.21,13.3,6.7,2077.6,80,145.43
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,256,True,2.62,18.4,3.1,1671.6,80,117.01
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,512,False,2.4,16.0,6.19,1677.2,80,100.63
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,1024,True,1.18,14.0,5.89,2998.4,80,209.89
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,16,256,True,2.27,15.6,6.51,1643.6,80,98.62
Acer,Nitro 5,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,2048,False,2.01,15.6,3.56,3086.8,80,216.08
Acer,TravelMate P6,Intel i5-14500H,Intel Iris Xe,64,512,False,1.47,14.0,2.29,1903.2,80,95.16
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,512,True,1.42,14.0,4.98,3835.2,80,268.46
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,2048,False,2.52,17.3,6.64,3786.8,80,265.08
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,128,1024,False,1.25,13.3,6.4,2796.4,80,167.78
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,1024,True,1.11,13.3,5.91,2598.4,80,155.9
Acer,Predator Helios 300,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,4096,True,2.75,18.4,3.19,2855.6,80,199.89
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,1024,False,3.11,17.3,3.17,1786.4,80,107.18
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 4050,128,1024,True,1.3,13.3,5.45,2836.4,80,170.18
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,4096,False,2.8,18.4,5.27,3735.6,80,261.49
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,1024,True,1.1,14.0,2.03,2470.4,80,123.52
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,3.06,18.4,6.26,3598.81,80,179.94
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.9,16.0,2.96,4018.8,80,200.94
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,16,2048,False,1.79,15.6,6.76,2702.8,80,162.17
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,1.46,14.0,2.06,3603.2,80,252.22
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,2.43,15.6,4.97,3471.6,80,208.3
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,1024,False,3.25,18.4,6.55,2236.4,80,111.82
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,4096,True,2.24,15.6,3.76,3623.6,80,217.42
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,64,512,False,1.16,14.0,4.42,2683.2,80,187.82
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,2048,False,1.97,15.6,4.73,3998.8,80,239.93
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,256,False,1.12,13.3,2.84,2509.6,80,150.58
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,1.39,14.0,5.4,2793.6,80,139.68
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,4096,True,1.17,14.0,2.49,2461.6,80,123.08
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,1024,False,1.22,14.0,2.98,2286.4,80,160.05
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,64,256,True,3.0,18.4,3.1,3727.6,80,260.93
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,1024,True,1.31,13.3,6.21,2626.4,80,131.32
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,8,1024,False,1.2,14.0,3.83,1586.4,80,111.05
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,256,True,2.75,17.3,2.2,2027.6,80,101.38
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,True,2.84,18.4,3.2,2661.6,80,186.31
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,1024,True,3.15,18.4,3.87,1720.4,80,120.43
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,2048,True,2.56,18.4,4.73,3906.8,80,195.34
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,8,2048,True,3.13,18.4,4.24,3058.8,80,152.94
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,16,2048,False,2.92,18.4,2.19,1602.8,80,96.17
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,2048,True,2.73,17.3,4.06,2522.8,80,126.14
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,4096,True,3.4,17.3,3.46,1963.6,80,117.82
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,512,False,1.47,14.0,2.94,2665.2,80,133.26
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,2.36,15.6,3.01,2369.2,80,142.15
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,8,1024,True,3.01,17.3,4.22,3056.4,80,152.82
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,512,False,1.19,13.3,6.65,2433.2,80,170.32
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,512,True,3.07,18.4,3.17,2565.2,80,128.26
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,True,3.15,17.3,5.38,3366.4,80,201.98
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,2048,False,2.84,18.4,2.73,3402.8,80,170.14
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,1024,False,3.35,17.3,5.55,2684.4,80,161.06
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,512,False,2.56,18.4,4.64,1577.2,80,110.4
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,False,1.35,14.0,5.0,2289.6,80,114.48
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,1024,False,2.28,15.6,2.99,4196.4,80,293.75
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,512,False,1.05,13.3,6.29,2699.2,80,161.95
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,1.41,14.0,3.13,2339.2,80,140.35
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,4096,True,1.67,16.0,6.15,1963.6,80,137.45
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,2048,False,1.17,14.0,5.51,3436.8,80,206.21
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,256,True,2.39,16.0,4.04,1771.6,80,106.3
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,1024,False,1.22,13.3,6.19,2686.4,80,161.18
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,256,False,1.45,14.0,3.77,4089.6,80,204.48
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,2.01,15.6,6.61,3530.8,80,247.16
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,1024,False,1.86,15.6,5.46,2300.4,80,138.02
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,256,False,2.02,15.6,5.08,2607.6,80,130.38
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,True,1.38,14.0,5.43,3697.6,80,258.83
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,64,512,True,1.09,13.3,2.15,2003.2,80,140.22
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,128,256,True,2.45,16.0,2.58,2539.6,80,152.38
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,3.48,18.4,3.43,1579.6,80,110.57
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,False,1.32,13.3,6.59,2321.6,80,116.08
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,1024,False,1.45,13.3,6.64,1854.4,80,92.72
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,512,False,1.67,16.0,6.76,2377.2,80,118.86
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,512,True,2.89,17.3,4.52,3015.2,80,150.76
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,False,2.33,15.6,2.37,2633.2,80,131.66
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,512,True,1.82,15.6,5.77,2497.2,80,174.8
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,512,False,1.42,14.0,6.42,2155.2,80,129.31
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4080,64,4096,True,1.8,15.6,5.81,3811.6,80,266.81
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,32,256,False,1.58,15.6,5.42,1901.6,80,133.11
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,False,1.93,16.0,3.59,3607.6,80,180.38
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,256,True,1.37,13.3,4.32,3209.6,80,192.58
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,4096,True,1.66,15.6,2.08,3155.6,80,157.78
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,512,False,2.79,18.4,2.15,2185.2,80,131.11
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,256,True,2.54,17.3,5.55,2789.6,80,139.48
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,512,True,3.0,17.3,5.64,3353.2,80,167.66
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,32,512,True,2.32,15.6,4.74,2497.2,80,124.86
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,32,4096,False,1.55,16.0,6.47,2735.6,80,164.14
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,4096,False,2.23,15.6,3.61,3691.6,80,258.41
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,2048,True,1.49,13.3,3.41,3688.8,80,184.44
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,4096,False,3.01,17.3,4.31,3203.59,80,224.25
Acer,Aspire 5,AMD Ryzen 5 8600H,AMD Radeon 680M,32,512,True,3.27,17.3,5.38,1797.2,80,89.86
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,256,True,1.92,15.6,5.83,2027.6,80,101.38
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,256,False,1.26,14.0,2.09,2469.6,80,172.87
Acer,TravelMate P6,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,2048,False,3.01,18.4,2.39,2086.8,80,146.08
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,512,False,1.18,13.3,6.46,2535.2,80,152.11
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.74,15.6,4.2,2080.8,80,104.04
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,2048,False,1.18,13.3,2.94,2836.8,80,141.84
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,2048,False,1.35,14.0,2.16,2500.8,80,125.04
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,4096,True,1.89,15.6,6.9,3161.6,80,221.31
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,False,2.29,16.0,4.61,1359.6,80,81.58
Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,4096,True,1.1,13.3,6.62,2973.6,80,178.42
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.38,14.0,3.76,2577.6,80,180.43
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,512,False,1.3,13.3,6.79,2303.2,80,161.22
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,False,1.19,14.0,4.94,3078.4,80,215.49
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,256,False,1.4,14.0,5.1,2129.6,80,106.48
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,False,1.42,14.0,6.19,2255.6,80,135.34
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,128,1024,False,3.05,18.4,4.03,2946.4,80,206.25
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,2.3,15.6,2.79,2950.8,80,206.56
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,64,4096,False,1.04,14.0,4.21,2341.6,80,140.5
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,256,False,2.36,16.0,5.91,2159.6,80,129.58
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,3.42,17.3,2.62,1485.2,80,89.11
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,4096,False,2.7,17.3,3.8,2543.6,80,178.05
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,32,1024,True,2.91,18.4,6.75,2548.4,80,178.39
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,256,False,2.66,17.3,2.1,1459.6,80,102.17
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,1024,True,1.6,15.6,2.16,4016.4,80,240.98
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 3050,32,2048,False,1.34,14.0,2.86,1800.8,80,90.04
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,True,2.6,18.4,4.59,2727.6,80,190.93
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,1024,False,2.19,16.0,5.29,2684.41,80,161.06
Acer,TravelMate P6,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,False,3.5,18.4,2.78,3246.4,80,227.25
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,4096,True,2.24,16.0,4.8,2923.6,80,204.65
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,4096,True,1.23,13.3,2.79,1977.59,80,98.88
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.54,16.0,5.91,4018.8,80,241.13
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4080,64,1024,False,2.81,17.3,2.81,3384.4,80,169.22
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.29,15.6,2.18,1600.4,80,96.02
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,32,2048,False,1.12,14.0,4.19,2580.8,80,154.85
Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,2048,False,2.39,16.0,2.98,2598.8,80,181.92
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,2048,False,1.47,13.3,6.26,1608.8,80,112.62
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,1024,False,1.1,14.0,6.1,1900.4,80,114.02
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,2048,True,3.23,18.4,4.27,3718.8,80,260.32
Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,256,False,1.09,14.0,6.43,1701.6,80,119.11
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,128,256,False,1.16,14.0,3.61,3469.6,80,242.87
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,512,True,1.37,14.0,4.54,4235.2,80,296.46
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,True,1.32,13.3,3.39,1449.6,100,101.47
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,2048,False,2.04,16.0,6.48,3130.8,100,187.85
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,256,False,2.45,15.6,6.18,2907.6,100,174.46
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,2.96,18.4,3.48,3607.6,100,252.53
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,1024,False,1.29,14.0,5.58,2036.4,100,101.82
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,256,False,2.73,17.3,5.34,3519.6,100,246.37
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,256,True,2.39,16.0,5.17,2277.6,100,159.43
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,64,512,True,3.23,18.4,4.72,3053.2,100,152.66
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,8,256,True,2.77,17.3,6.91,1829.6,100,128.07
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,512,True,1.17,14.0,3.79,3403.2,100,204.19
Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,4096,False,2.02,15.6,4.1,3591.6,100,251.41
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,1024,True,1.19,13.3,6.91,3470.4,100,242.93
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,256,False,2.77,17.3,2.68,1523.6,100,91.42
Asus,ExpertBook B9,AMD Ryzen 5 8600H,AMD Radeon 680M,32,256,False,1.17,14.0,4.05,1701.61,100,85.08
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,True,2.31,16.0,4.0,2753.2,100,192.72
Asus,VivoBook S15,Intel i7-14700H,NVIDIA RTX 4060,64,256,True,1.36,13.3,2.38,2697.6,100,161.86
Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,256,False,2.21,15.6,2.55,2819.6,100,197.37
Asus,VivoBook S15,Intel i5-14600H,Intel Iris Xe,128,2048,False,2.5,18.4,4.07,2598.8,100,181.92
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,1.3,13.3,4.6,3441.6,100,240.91
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,2048,True,1.04,14.0,3.02,3018.8,100,150.94
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,2.63,17.3,5.42,2823.6,100,197.65
Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,1.01,13.3,2.18,3657.6,100,182.88
Asus,ZenBook 14,Intel i5-14600H,NVIDIA RTX 4050,8,256,False,2.52,18.4,5.16,1709.6,100,119.67
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,64,2048,False,2.75,18.4,6.55,2336.8,100,140.21
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,1024,True,1.43,13.3,4.19,1626.4,100,113.85
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,4096,False,3.32,17.3,4.32,2657.6,100,186.03
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,512,False,1.47,14.0,2.79,2153.2,100,107.66
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,256,True,1.02,13.3,4.27,2071.6,100,103.58
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,512,False,2.01,16.0,4.99,3545.2,100,177.26
Asus,TUF Gaming F15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,2048,False,3.26,17.3,6.85,3298.8,100,197.93
Asus,ExpertBook B9,Intel i7-14800H,NVIDIA RTX 4070,16,4096,True,1.76,15.6,2.71,3027.6,100,151.38
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,4096,False,2.02,16.0,6.52,2157.6,100,129.46
